Date,Product_ID,SKU_No,Required_Qty,Available_Stock,Station,Status
17-12-2017,M001,SK0020,76,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0021,229,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0023,76,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0024,229,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0026,76,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0027,76,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0028,76,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0029,153,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0030,153,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0010,79,368,Line 1 - Station 1,READY
18-12-2017,M001,SK0013,79,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0014,236,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0015,79,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0016,79,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0018,79,368,Line 1 - Station 2,READY
18-12-2017,M001,SK0020,79,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0021,236,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0023,79,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0024,236,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0026,79,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0027,79,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0028,79,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0029,157,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
18-12-2017,M001,SK0030,157,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0010,78,289,Line 1 - Station 1,READY
19-12-2017,M001,SK0013,78,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0014,234,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0015,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0016,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0018,78,289,Line 1 - Station 2,READY
19-12-2017,M001,SK0020,78,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0021,234,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0023,78,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0024,234,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0026,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0027,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0028,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0029,156,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
19-12-2017,M001,SK0030,156,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0010,79,211,Line 1 - Station 1,READY
20-12-2017,M001,SK0013,79,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0014,237,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0015,79,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0016,79,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0018,79,211,Line 1 - Station 2,READY
20-12-2017,M001,SK0020,79,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0021,237,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0023,79,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0024,237,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0026,79,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0027,79,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0028,79,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0029,158,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
20-12-2017,M001,SK0030,158,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0010,78,132,Line 1 - Station 1,READY
21-12-2017,M001,SK0013,78,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0014,235,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0015,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0016,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0018,78,132,Line 1 - Station 2,READY
21-12-2017,M001,SK0020,78,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0021,235,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0023,78,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0024,235,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0026,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0027,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0028,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0029,156,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
21-12-2017,M001,SK0030,156,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0010,75,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0013,75,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0014,225,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0015,75,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0016,75,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0018,75,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0020,75,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0021,225,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0023,75,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0024,225,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0026,75,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0027,75,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0028,75,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0029,150,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
22-12-2017,M001,SK0030,150,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0010,78,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0013,78,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0014,235,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0015,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0016,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0018,78,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0020,78,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0021,235,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0023,78,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0024,235,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0026,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0027,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0028,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0029,157,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
23-12-2017,M001,SK0030,157,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0010,74,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0013,74,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0014,223,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0015,74,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0016,74,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0018,74,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0020,74,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0021,223,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0023,74,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0024,223,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0026,74,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0027,74,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0028,74,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0029,149,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
24-12-2017,M001,SK0030,149,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0010,77,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0013,77,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0014,230,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0015,77,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0016,77,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0018,77,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0020,77,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0021,230,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0023,77,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0024,230,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0026,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0027,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0028,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0029,153,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
25-12-2017,M001,SK0030,153,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0010,76,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0013,76,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0014,229,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0015,76,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0016,76,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0018,76,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0020,76,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0021,229,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0023,76,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0024,229,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0026,76,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0027,76,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0028,76,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0029,153,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
26-12-2017,M001,SK0030,153,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0010,78,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0013,78,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0014,233,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0015,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0016,78,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0018,78,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0020,78,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0021,233,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0023,78,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0024,233,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0026,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0027,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0028,78,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0029,155,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
27-12-2017,M001,SK0030,155,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0010,77,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0013,77,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0014,231,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0015,77,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0016,77,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0018,77,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0020,77,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0021,231,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0023,77,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0024,231,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0026,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0027,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0028,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0029,154,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
28-12-2017,M001,SK0030,154,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0010,74,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0013,74,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0014,222,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0015,74,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0016,74,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0018,74,54,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0020,74,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0021,222,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0023,74,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0024,222,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0026,74,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0027,74,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0028,74,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0029,148,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
29-12-2017,M001,SK0030,148,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
30-12-2017,M001,SK0010,78,54,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
30-12-2017,M001,SK0013,78,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
